node,node_bef_goal,path,path_len,time
1000,1420,DRDD,4,0.018000125885
1001,1420,RU-UD,5,0.0309998989105
1002,1420,DRDD,4,0.00999999046326
1003,1420,DRDD,4,0.00999999046326
1004,1420,DRDD,4,0.00999999046326
1010,2341,ULUR-,5,0.0160000324249
1011,1013,D-L,3,0.00200009346008
1012,1420,D-DD,4,0.0130000114441
1013,1013,L,1,0.000999927520752
1014,1420,UU-UD,5,0.0190000534058
1020,2341,UDUR-,5,0.0149998664856
1021,2341,UDUR-,5,0.0190000534058
1022,2341,UDUR-,5,0.0230000019073
1023,2341,UD-,3,0.00100016593933
1024,1420,DU-RD,5,0.0339999198914
1030,1420,UDRDD,5,0.0149998664856
1031,1420,U-UD,4,0.00499987602234
1032,1013,RD-L,4,0.00800013542175
1033,1013,DLL,3,0.00300002098083
1034,1420,LRD,3,0.00299978256226
1040,2341,-LRR-,5,0.0380001068115
1041,1420,U--D,4,0.00699996948242
1042,2341,DULL-,5,0.0360000133514
1043,1013,DDLLL,5,0.039999961853
1044,1420,-LUD,4,0.0160000324249
1100,1420,LRDD,4,0.0130000114441
1101,1420,LRDD,4,0.0120000839233
1102,1420,LRDD,4,0.0119998455048
1103,1420,LRDD,4,0.0110001564026
1104,1013,UDR-L,5,0.0209999084473
1110,2341,UL-,3,0.00200009346008
1111,2341,DUL-,4,0.00899982452393
1112,2341,ULUR-,5,0.0220000743866
1113,2341,ULUR-,5,0.0239999294281
1114,2341,ULUR-,5,0.0230000019073
1120,1420,L-DD,4,0.0140001773834
1121,1013,DR-L,4,0.010999917984
1122,2341,UUDR-,5,0.0169999599457
1123,2341,-DR-,4,0.0160000324249
1124,1013,L-L,3,0.00300002098083
1130,1420,ULRDD,5,0.0220000743866
1131,1420,DD,2,0.0
1132,1420,UD-RD,5,0.0199999809265
1133,2341,-DR-,4,0.0150001049042
1134,2341,--R-,4,0.0179998874664
1140,1420,URRD,4,0.00500011444092
1141,1013,LLL,3,0.00300002098083
1142,1420,DDRD,4,0.00999999046326
1143,2341,-DR-,4,0.0149998664856
1144,1420,-UDD,4,0.0150001049042
1200,1013,RR-L,4,0.00799989700317
1201,1420,URRDD,5,0.018000125885
1202,1420,URRDD,5,0.0179998874664
1203,1420,URRDD,5,0.0190000534058
1204,1420,URRDD,5,0.0210001468658
1210,1013,UR-L,4,0.00499987602234
1211,1420,RDRD,4,0.0090000629425
1212,1420,RDRD,4,0.00799989700317
1213,1420,RDRD,4,0.0090000629425
1214,1013,DL,2,0.000999927520752
1220,1420,DLRD,4,0.0110001564026
1221,2341,UDUR-,5,0.0209999084473
1222,2341,UUDR-,5,0.0179998874664
1223,2341,UUDR-,5,0.018000125885
1224,1420,UDRD,4,0.00600004196167
1230,2341,RUL-,4,0.00699996948242
1231,1013,U--UL,5,0.0249998569489
1232,1013,R-LLL,5,0.0360000133514
1233,1420,U-RD,4,0.00500011444092
1234,0,,0,0.000999927520752
1240,1420,RD,2,0.0
1241,2341,ULL-,4,0.00699996948242
1242,1420,RRRDD,5,0.029000043869
1243,2341,U-UR-,5,0.0269999504089
1244,1420,LD,2,0.00100016593933
1300,2341,-DRL-,5,0.039999961853
1301,1420,RDD,3,0.0019998550415
1302,1420,RDD,3,0.00200009346008
1303,1420,RDD,3,0.00200009346008
1304,1420,RDD,3,0.0019998550415
1310,1013,-L,2,0.00100016593933
1311,1420,-DD,3,0.00299978256226
1312,1013,RLLL,4,0.0090000629425
1313,1013,RLLL,4,0.0090000629425
1314,1013,RLLL,4,0.0090000629425
1320,1013,LD-L,4,0.0120000839233
1321,2341,UDUR-,5,0.0199999809265
1322,1013,LL,2,0.000999927520752
1323,2341,UUDR-,5,0.018000125885
1324,1420,UDRD,4,0.00499987602234
1330,2341,RUL-,4,0.00699996948242
1331,1013,U--UL,5,0.0239999294281
1332,2341,RDUL-,5,0.0300002098083
1333,1420,U-RD,4,0.00699996948242
1334,1420,U-RD,4,0.00600004196167
1340,1420,RL-DD,5,0.0329999923706
1341,2341,ULL-,4,0.00599980354309
1342,1013,DLLL,4,0.0120000839233
1343,2341,U-UR-,5,0.0260000228882
1344,1013,RDR-L,5,0.0309998989105
1400,1420,-DUD,4,0.0160000324249
1401,1013,DRR-L,5,0.0360000133514
1402,1420,LLRDD,5,0.0390000343323
1403,1420,UDR-DD,6,0.0520000457764
1404,1013,UDR-L,5,0.0209999084473
1410,2341,UL-,3,0.000999927520752
1411,1013,-LLL,4,0.0160000324249
1412,1013,--DL,4,0.0160000324249
1413,2341,ULUR-,5,0.0239999294281
1414,2341,ULUR-,5,0.0230000019073
1420,1420,D,1,0.0
1421,1420,RRDD,4,0.00799989700317
1422,1420,RRDD,4,0.00800013542175
1423,1420,RRDD,4,0.00799989700317
1424,1013,U-DL,4,0.00800013542175
1430,1013,R-L,3,0.0019998550415
1431,1420,R-DD,4,0.0090000629425
